Museum,Exhibition Title,Dates,Genre,Cost,Artists,Country,Artifact Type,Age Group
San Francisco Museum of Modern Art (SFMOMA),Ways of Seeing: Fourteen Artists,Ongoing / Permanent Exhibition,Modern & Contemporary Art,$25 General Admission,Various / Featured Artists,United States / International,Modern Paintings & Photography,All Ages
California Academy of Sciences,New & featured,Current Exhibition,Natural Sciences & Biodiversity,$38 - $45 (Dynamic Pricing),Various / Featured Artists,United States / International,Live Habitat & Scientific Specimens,All Ages
California Academy of Sciences,Vivid: Immerse Your Senses,Current Exhibition,Natural Sciences & Biodiversity,$38 - $45 (Dynamic Pricing),Various / Featured Artists,United States / International,Live Habitat & Scientific Specimens,All Ages
California Academy of Sciences,"Tiny Chef, Big Impact",Current Exhibition,Natural Sciences & Biodiversity,$38 - $45 (Dynamic Pricing),Various / Featured Artists,United States / International,Live Habitat & Scientific Specimens,All Ages
California Academy of Sciences,Emo NiteLife,Current Exhibition,Natural Sciences & Biodiversity,$38 - $45 (Dynamic Pricing),Various / Featured Artists,United States / International,Live Habitat & Scientific Specimens,All Ages
Exploratorium,Explo Main navigation,Current Exhibition,"Science, Art & Human Perception",$39.95 General Admission,Various / Featured Artists,United States / International,Interactive Science Displays,Kids & Families
Exploratorium,Iconic Exhibits,Current Exhibition,"Science, Art & Human Perception",$39.95 General Admission,Various / Featured Artists,United States / International,Paintings,All Ages
Exploratorium,Plan Your Visit,Current Exhibition,"Science, Art & Human Perception",$39.95 General Admission,Various / Featured Artists,United States / International,Interactive Science Displays,All Ages
Legion of Honor,Current & Permanent Collection at Legion of Honor,Ongoing / Permanent Exhibition,Ancient & European Fine Art,$20 General Admission,Various / Featured Artists,United States / International,European Paintings & Antiquities,All Ages
Asian Art Museum,Upcoming,Current Exhibition,Asian Art & Culture,$20 General Admission,Various / Featured Artists,United States / International,Automobiles & Vehicles,All Ages
Oakland Museum of California,Current & Permanent Collection at Oakland Museum of California,Ongoing / Permanent Exhibition,"California Art, History & Natural Sciences",$19 General Admission,Various / Featured Artists,United States / International,California Historical & Art Artifacts,All Ages
Computer History Museum,Current & Permanent Collection at Computer History Museum,Ongoing / Permanent Exhibition,Computing & Technology History,$19.50 General Admission,Various / Featured Artists,United States / International,Vintage Computers & Computing Artifacts,All Ages
San Diego Museum of Art,Current & Permanent Collection at San Diego Museum of Art,Ongoing / Permanent Exhibition,Spanish & Fine European Art,$20 General Admission,Various / Featured Artists,United States / International,Fine Paintings & Sculptures,All Ages
San Diego Natural History Museum,Washed Ashore: Art to Save the Sea,Current Exhibition,Natural History of Southern & Lower California,$24 General Admission,Various / Featured Artists,United States / International,Fossils & Biological Specimens,All Ages
San Diego Natural History Museum,Amazement in the Basement,Current Exhibition,Natural History of Southern & Lower California,$24 General Admission,Various / Featured Artists,United States / International,Fossils & Biological Specimens,All Ages
San Diego Natural History Museum,Nature Trail at The Nat,Current Exhibition,Natural History of Southern & Lower California,$24 General Admission,Various / Featured Artists,United States / International,Fossils & Biological Specimens,All Ages
San Diego Natural History Museum,Expedition Baja,Current Exhibition,Natural History of Southern & Lower California,$24 General Admission,Various / Featured Artists,United States / International,Fossils & Biological Specimens,All Ages
San Diego Air & Space Museum,Ripley's Believe It or Not!,Current Exhibition,Aviation & Aerospace History,$25 General Admission,Various / Featured Artists,United States / International,Aircraft & Aerospace Artifacts,All Ages
San Diego Air & Space Museum,Moon Base San Diego,Current Exhibition,Aviation & Aerospace History,$25 General Admission,Various / Featured Artists,United States / International,Interactive Displays & Installations,Kids & Families
San Diego Air & Space Museum,American Women of Flight,Current Exhibition,Aviation & Aerospace History,$25 General Admission,Various / Featured Artists,United States / International,Aircraft & Aerospace Artifacts,All Ages
San Diego Air & Space Museum,SPACE: Our Greatest Adventure,Current Exhibition,Aviation & Aerospace History,$25 General Admission,Various / Featured Artists,United States / International,Interactive Displays & Installations,All Ages
USS Midway Museum,Choose Your Experiences,Current Exhibition,Naval & Military Aviation History,$31 General Admission,Various / Featured Artists,United States / International,Aviation & Aircraft,All Ages
USS Midway Museum,Flight Deck,Current Exhibition,Naval & Military Aviation History,$31 General Admission,Various / Featured Artists,United States / International,Aviation & Aircraft,All Ages
USS Midway Museum,Hangar Deck,Current Exhibition,Naval & Military Aviation History,$31 General Admission,Various / Featured Artists,United States / International,Historic Aircraft & Aircraft Carrier Spaces,All Ages
USS Midway Museum,Below Deck,Current Exhibition,Naval & Military Aviation History,$31 General Admission,Various / Featured Artists,United States / International,Historic Aircraft & Aircraft Carrier Spaces,All Ages
Museum of Contemporary Art San Diego (MCASD),Current & Permanent Collection at Museum of Contemporary Art San Diego (MCASD),Ongoing / Permanent Exhibition,Contemporary Art (Post-1950),$25 General Admission,Various / Featured Artists,United States / International,Contemporary Paintings & Sculptures,All Ages
California State Railroad Museum,Current & Permanent Collection at California State Railroad Museum,Ongoing / Permanent Exhibition,Railroad & Transportation History,$12 General Admission,Various / Featured Artists,United States / International,Locomotives & Railroad Cars,All Ages
Crocker Art Museum,"Learn,play,growattheCrocker.",Current Exhibition,California & European Fine Art,$15 General Admission,Various / Featured Artists,United States / International,Paintings & Ceramics,Kids & Families
California Museum,Current & Permanent Collection at California Museum,Ongoing / Permanent Exhibition,California Cultural History,$10 General Admission,Various / Featured Artists,United States / International,Historical Documents & Cultural Artifacts,All Ages
Santa Barbara Museum of Art,Current & Permanent Collection at Santa Barbara Museum of Art,Ongoing / Permanent Exhibition,"Asian, Classical & Contemporary Art",$10 General Admission,Various / Featured Artists,United States / International,Paintings & Sculptures,All Ages
Monterey Bay Aquarium,Current & Permanent Collection at Monterey Bay Aquarium,Ongoing / Permanent Exhibition,Marine Biology & Ocean Conservation,$59.95 General Admission,Various / Featured Artists,United States / International,Live Marine Exhibits & Habitats,All Ages
Norton Simon Museum,Current & Permanent Collection at Norton Simon Museum,Ongoing / Permanent Exhibition,"European Renaissance, Impressionism & South Asian Art",$20 General Admission,Various / Featured Artists,United States / International,European Paintings & South Asian Sculptures,All Ages
Ronald Reagan Presidential Library,Virtual Exhibits,"May 22, 2026 - September 13, 2026",American Political History & Presidential Artifacts,$29.95 General Admission,Various / Featured Artists,United States,Air Force One & Presidential Documents,Kids & Families
Ronald Reagan Presidential Library,Digital Artifact Collection,Current Exhibition,American Political History & Presidential Artifacts,$29.95 General Admission,Various / Featured Artists,United States / International,Air Force One & Presidential Documents,All Ages
Ronald Reagan Presidential Library,The Oval Office,Current Exhibition,American Political History & Presidential Artifacts,$29.95 General Admission,Various / Featured Artists,United States / International,Air Force One & Presidential Documents,All Ages
Ronald Reagan Presidential Library,Governor of California,Current Exhibition,American Political History & Presidential Artifacts,$29.95 General Admission,Various / Featured Artists,United States / International,Air Force One & Presidential Documents,All Ages
